Bot,Trade,Time,Date,Profit,Profit_last_tx,Wallet
Arbitrage,Trade 1,18:18:51,2023-04-13,79.7,79.7,"{'USDT': 1000079.7024442083, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 2,18:19:01,2023-04-13,132.84,53.14,"{'USDT': 1000132.8416420002, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 3,18:19:11,2023-04-13,185.98,53.14,"{'USDT': 1000185.9836633415, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 4,18:21:16,2023-04-13,239.13,53.14,"{'USDT': 1000239.1285083821, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 5,18:21:25,2023-04-13,318.85,79.72,"{'USDT': 1000318.850011717, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 6,18:21:35,2023-04-13,372.0,53.15,"{'USDT': 1000372.001916606, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 7,18:21:45,2023-04-13,425.18,53.18,"{'USDT': 1000425.1849044804, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 8,18:21:54,2023-04-13,478.37,53.19,"{'USDT': 1000478.3707197332, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 9,18:22:05,2023-04-13,531.56,53.19,"{'USDT': 1000531.5593625146, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 10,18:22:27,2023-04-13,584.72,53.16,"{'USDT': 1000584.7225697071, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 11,18:22:49,2023-04-13,637.89,53.17,"{'USDT': 1000637.8886017246, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 12,18:23:11,2023-04-13,691.09,53.2,"{'USDT': 1000691.085724989, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 13,18:23:33,2023-04-13,744.26,53.17,"{'USDT': 1000744.2574086088, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 14,18:23:42,2023-04-13,797.43,53.17,"{'USDT': 1000797.4319175041, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 15,18:23:52,2023-04-13,850.61,53.18,"{'USDT': 1000850.6092518249, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 16,18:24:51,2023-04-13,930.42,79.81,"{'USDT': 1000930.4219000905, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 17,18:25:01,2023-04-13,983.63,53.21,"{'USDT': 1000983.6345753644, 'BTC': 0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 18,18:25:11,2023-04-13,1143.39,159.75,"{'USDT': 1001143.386349434, 'BTC': 0, 'ETH': 0.0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 19,18:25:33,2023-04-13,1196.61,53.22,"{'USDT': 1001196.6103465819, 'BTC': 0, 'ETH': 0.0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage,Trade 1,18:26:19,2023-04-13,420.14,420.14,"{'USDT': 1000420.1386666846, 'BTC': 0.0, 'ETH': 0, 'BNB': 0, 'LTC': 0, 'AVAX': 0.0}"
