Bot,Trade,Time,Date,Profit,Profit_last_tx,Wallet
SMA4_10.csv,Trade 1,14:59:45,2023-04-22,0.0,0,"{'USDT': 0.0, 'BTC': 18.284711238697763, 'ETH': 107.71741413575626, 'BNB': 304.6925889701402, 'LTC': 1157.9445275590551, 'AVAX': 5810.563794305636}"
SMA4_10.csv,Trade 2,19:31:35,2023-04-22,11746.01,174.32,"{'USDT': 100174.11981382917, 'BTC': 18.284711238697763, 'ETH': 107.71741413575626, 'BNB': 304.6925889701402, 'LTC': 1157.9445275590551, 'AVAX': 0.0}"
SMA4_10.csv,Trade 3,22:35:09,2023-04-22,9046.13,1711.63,"{'USDT': 301885.7495244463, 'BTC': 18.284711238697763, 'ETH': 0.0, 'BNB': 304.6925889701402, 'LTC': 1157.9445275590551, 'AVAX': 0.0}"
SMA4_10.csv,Trade 4,00:46:53,2023-04-23,12584.43,0,"{'USDT': 200621.44742444632, 'BTC': 18.284711238697763, 'ETH': 0.0, 'BNB': 304.6925889701402, 'LTC': 1157.9445275590551, 'AVAX': 5877.208479396401}"
SMA4_10.csv,Trade 5,01:27:58,2023-04-23,12021.34,0,"{'USDT': 0.0, 'BTC': 18.284711238697763, 'ETH': 106.86359964228828, 'BNB': 304.6925889701402, 'LTC': 1157.9445275590551, 'AVAX': 5877.208479396401}"
SMA4_10.csv,Trade 6,02:28:22,2023-04-23,9277.21,254.75,"{'USDT': 100254.83719606299, 'BTC': 18.284711238697763, 'ETH': 106.86359964228828, 'BNB': 304.6925889701402, 'LTC': 0.0, 'AVAX': 5877.208479396401}"
SMA4_10.csv,Trade 7,02:58:34,2023-04-23,3386.13,-3099.0,"{'USDT': 399041.58865103166, 'BTC': 18.284711238697763, 'ETH': 0.0, 'BNB': 304.6925889701402, 'LTC': 0.0, 'AVAX': 0.0}"
SMA4_10.csv,Trade 8,03:28:48,2023-04-23,5761.59,6719.89,"{'USDT': 1005761.5860598226, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
SMA4_10.csv,Trade 9,06:29:59,2023-04-23,5791.82,0,"{'USDT': 804609.2688598225, 'BTC': 0.0, 'ETH': 107.97979311492483, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
SMA4_10.csv,Trade 10,07:00:11,2023-04-23,6013.55,0,"{'USDT': 603416.7961598225, 'BTC': 0.0, 'ETH': 107.97979311492483, 'BNB': 303.6455013582855, 'LTC': 1164.1559784747135, 'AVAX': 0.0}"
SMA4_10.csv,Trade 11,08:00:34,2023-04-23,6267.31,0,"{'USDT': 502790.0654598225, 'BTC': 0.0, 'ETH': 107.97979311492483, 'BNB': 303.6455013582855, 'LTC': 1164.1559784747135, 'AVAX': 5877.7295969626175}"
SMA4_10.csv,Trade 12,08:30:46,2023-04-23,6758.97,0,"{'USDT': 0.0, 'BTC': 18.214734716775656, 'ETH': 107.97979311492483, 'BNB': 303.6455013582855, 'LTC': 1164.1559784747135, 'AVAX': 5877.7295969626175}"
SMA4_10.csv,Trade 13,09:31:08,2023-04-23,6533.83,-425.1,"{'USDT': 100172.65089809838, 'BTC': 18.214734716775656, 'ETH': 107.97979311492483, 'BNB': 0.0, 'LTC': 1164.1559784747135, 'AVAX': 5877.7295969626175}"
SMA4_10.csv,Trade 14,11:31:56,2023-04-23,8003.36,0,"{'USDT': 0.0, 'BTC': 18.214734716775656, 'ETH': 107.97979311492483, 'BNB': 302.17994237737065, 'LTC': 1164.1559784747135, 'AVAX': 5877.7295969626175}"
SMA4_10.csv,Trade 15,13:02:31,2023-04-23,4717.65,-434.2,"{'USDT': 804102.8947009514, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 302.17994237737065, 'LTC': 0.0, 'AVAX': 5877.7295969626175}"
SMA4_10.csv,Trade 16,13:32:43,2023-04-23,4569.88,0.0,"{'USDT': 904729.6254009514, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 302.17994237737065, 'LTC': 0.0, 'AVAX': 0.0}"
SMA4_10.csv,Trade 17,14:02:55,2023-04-23,4781.4,-120.87,"{'USDT': 1004781.4043220988, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
SMA4_10.csv,Trade 18,14:33:08,2023-04-23,4755.76,0,"{'USDT': 803825.1235220989, 'BTC': 0.0, 'ETH': 106.83481169590644, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
