Bot,Trade,Time,Date,Profit,Profit_last_tx,Wallet
Arbitrage[{LIMIT_ARBITRAGE}],Trade 1,10:29:17,2023-04-22,46.5,46.5,"{'USDT': 1000046.5044179197, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 2,10:59:33,2023-04-22,186.2,139.69,"{'USDT': 1000186.1973953525, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 3,11:36:42,2023-04-22,294.53,108.33,"{'USDT': 1000294.5263970391, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 4,12:08:27,2023-04-22,412.42,117.89,"{'USDT': 1000412.416146715, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 5,12:38:44,2023-04-22,559.06,146.65,"{'USDT': 1000559.0611798433, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 6,13:14:53,2023-04-22,666.63,107.57,"{'USDT': 1000666.6316517676, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 7,13:45:07,2023-04-22,743.57,76.94,"{'USDT': 1000743.5704978388, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 8,14:16:51,2023-04-22,850.77,107.2,"{'USDT': 1000850.7656774869, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 9,14:47:08,2023-04-22,973.01,122.24,"{'USDT': 1000973.0069924182, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 10,15:17:25,2023-04-22,1095.23,122.22,"{'USDT': 1001095.2259187918, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 11,15:49:07,2023-04-22,1202.43,107.2,"{'USDT': 1001202.42595829, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 12,16:31:47,2023-04-22,1309.02,106.59,"{'USDT': 1001309.0178515523, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 13,17:03:29,2023-04-22,1400.32,91.3,"{'USDT': 1001400.3226252302, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 14,17:37:27,2023-04-22,1516.49,116.17,"{'USDT': 1001516.4943564368, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 15,18:09:10,2023-04-22,1592.63,76.14,"{'USDT': 1001592.6321467668, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 16,18:39:25,2023-04-22,1699.07,106.44,"{'USDT': 1001699.0713212619, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 17,19:09:42,2023-04-22,1835.69,136.62,"{'USDT': 1001835.6873485235, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 18,19:51:33,2023-04-22,2010.43,174.74,"{'USDT': 1002010.4261311397, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 19,20:21:48,2023-04-22,2175.21,164.78,"{'USDT': 1002175.2105477789, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 20,21:16:00,2023-04-22,2251.1,75.89,"{'USDT': 1002251.0984177622, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 21,21:46:15,2023-04-22,2342.41,91.31,"{'USDT': 1002342.4058363471, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 22,22:16:31,2023-04-22,2494.23,151.82,"{'USDT': 1002494.2298905731, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 23,22:57:39,2023-04-22,2691.66,197.43,"{'USDT': 1002691.6609614715, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 24,23:27:55,2023-04-22,2888.95,197.29,"{'USDT': 1002888.9515864601, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 25,23:58:09,2023-04-22,3156.04,267.09,"{'USDT': 1003156.0426038643, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 26,00:50:07,2023-04-23,3291.87,135.83,"{'USDT': 1003291.8693585958, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 27,01:20:22,2023-04-23,3458.25,166.38,"{'USDT': 1003458.2527531232, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 28,01:50:37,2023-04-23,3624.66,166.41,"{'USDT': 1003624.6637403537, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 29,02:20:52,2023-04-23,3730.61,105.95,"{'USDT': 1003730.6111487083, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 30,02:51:08,2023-04-23,3836.92,106.31,"{'USDT': 1003836.9224556684, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 31,03:21:23,2023-04-23,3943.08,106.16,"{'USDT': 1003943.0843903112, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 32,03:51:38,2023-04-23,4034.49,91.41,"{'USDT': 1004034.4904374129, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 33,04:21:54,2023-04-23,4248.44,213.95,"{'USDT': 1004248.4399482196, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 34,04:52:10,2023-04-23,4416.15,167.71,"{'USDT': 1004416.1450163841, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 35,05:22:25,2023-04-23,4583.52,167.38,"{'USDT': 1004583.5223470158, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 36,05:54:51,2023-04-23,4735.82,152.3,"{'USDT': 1004735.8242757606, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 37,06:25:08,2023-04-23,4811.91,76.08,"{'USDT': 1004811.9060434418, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 38,06:56:05,2023-04-23,4948.57,136.67,"{'USDT': 1004948.5738257299, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 39,07:26:21,2023-04-23,5085.63,137.06,"{'USDT': 1005085.6330341857, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 40,07:56:37,2023-04-23,5279.48,193.85,"{'USDT': 1005279.4789498268, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 41,08:26:53,2023-04-23,5401.07,121.59,"{'USDT': 1005401.0730809426, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 42,08:57:10,2023-04-23,5507.76,106.68,"{'USDT': 1005507.7550198694, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 43,09:27:26,2023-04-23,5675.82,168.07,"{'USDT': 1005675.8234791461, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 44,09:57:42,2023-04-23,5797.58,121.75,"{'USDT': 1005797.5760000905, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 45,10:27:57,2023-04-23,5950.02,152.44,"{'USDT': 1005950.0157660801, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 46,10:58:12,2023-04-23,6193.44,243.42,"{'USDT': 1006193.4398473869, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 47,11:28:28,2023-04-23,6508.39,314.95,"{'USDT': 1006508.3922501693, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
